date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:16	25817/25817	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000857-64d9%22	https://sigony.com/wp-content/plugins/js_composer_salient/assets/js/dist/js_composer_front.min.js?ver=7.8.1	C:/SITE%20AMPLIO/1/sigony.com/wp-content/plugins/js_composer_salient/assets/js/dist/js_composer_front.mind03b.js	(from https://sigony.com/)
20:01:16	4272/4272	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-10b0%22	https://sigony.com/wp-content/themes/salient/js/build/elements/nectar-post-grid-stacked.js?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/elements/nectar-post-grid-stackedd8c7.js	(from https://sigony.com/)
20:01:17	2608/2608	---M--	200	added ('OK')	image/gif	etag:%2267000823-a30%22	https://sigony.com/wp-content/themes/salient/img/icons/loading-white-bg.gif	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/img/icons/loading-white-bg.gif	(from https://sigony.com/wp-content/themes/salient/css/build/style.css?ver=17.0.2)
20:01:17	1340/1340	---M--	200	added ('OK')	image/png	etag:%2267000823-53c%22	https://sigony.com/wp-content/themes/salient/img/icons/quote.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/img/icons/quote.png	(from https://sigony.com/wp-content/themes/salient/css/build/style.css?ver=17.0.2)
20:01:17	1443/1443	---M--	200	added ('OK')	image/png	etag:%2267000823-5a3%22	https://sigony.com/wp-content/themes/salient/img/icons/link.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/img/icons/link.png	(from https://sigony.com/wp-content/themes/salient/css/build/style.css?ver=17.0.2)
20:01:17	1162/1162	---M--	200	added ('OK')	image/png	etag:%2267000823-48a%22	https://sigony.com/wp-content/themes/salient/img/icons/status.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/img/icons/status.png	(from https://sigony.com/wp-content/themes/salient/css/build/style.css?ver=17.0.2)
20:01:18	1776/1776	---M--	200	added ('OK')	image/png	etag:%2267000823-6f0%22	https://sigony.com/wp-content/themes/salient/img/icons/quote-2x.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/img/icons/quote-2x.png	(from https://sigony.com/wp-content/themes/salient/css/build/style.css?ver=17.0.2)
20:01:18	2078/2078	---M--	200	added ('OK')	image/png	etag:%2267000823-81e%22	https://sigony.com/wp-content/themes/salient/img/icons/link-2x.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/img/icons/link-2x.png	(from https://sigony.com/wp-content/themes/salient/css/build/style.css?ver=17.0.2)
20:01:18	1189/1189	---M--	200	added ('OK')	image/png	etag:%2267000823-4a5%22	https://sigony.com/wp-content/themes/salient/img/icons/portfolio-arrows.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/img/icons/portfolio-arrows.png	(from https://sigony.com/wp-content/themes/salient/css/build/style.css?ver=17.0.2)
20:01:18	1467/1467	---M--	200	added ('OK')	image/png	etag:%2267000823-5bb%22	https://sigony.com/wp-content/themes/salient/img/icons/portfolio-arrows-2x.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/img/icons/portfolio-arrows-2x.png	(from https://sigony.com/wp-content/themes/salient/css/build/style.css?ver=17.0.2)
